id,question,answer,category,author,published_date,legal_refs,tags,views,url
138084829,"Không ở trọ nữa có phải xóa đăng ký tạm trú không?","Theo Điều 29 Luật Cư trú 2020, người đã đăng ký tạm trú tại chỗ ở thuê, mượn, ở nhờ mà không còn cư trú tại đó và chưa đăng ký tạm trú nơi khác thì phải xóa đăng ký tạm trú. Việc xóa đăng ký tạm trú được thực hiện tại cơ quan đăng ký cư trú nơi đã đăng ký tạm trú.","Quyen dan su","Nguyen Thi Hien","2026-03-26","Luat Cu tru 2020;Dieu 29","Dang ky tam tru",13,"https://thuvienphapluat.vn/hoi-dap-phap-luat/khong-o-tro-nua-co-phai-xoa-dang-ky-tam-tru-khong-138084829.html"
138084727,"Hướng dẫn cách xóa đăng ký tạm trú online 2026 thế nào?","Bước 1: Truy cập Cổng dịch vụ công quốc gia tại dichvucong.gov.vn. Bước 2: Đăng nhập tài khoản VNeID. Bước 3: Tìm kiếm thủ tục xóa đăng ký tạm trú. Bước 4: Điền thông tin theo mẫu và nộp hồ sơ trực tuyến. Bước 5: Nhận kết quả qua ứng dụng VNeID hoặc tại cơ quan công an.","Quyen dan su","Tran Van Minh","2026-03-26","Luat Cu tru 2020;Nghi dinh 62/2021/ND-CP","Tam tru;Dich vu cong",25,"https://thuvienphapluat.vn/hoi-dap-phap-luat/huong-dan-cach-xoa-dang-ky-tam-tru-online-2026-the-nao-138084727.html"
138083129,"Về quê họ hàng chơi có phải đăng ký tạm trú không?","Theo khoản 1 Điều 27 Luật Cư trú 2020, công dân đến sinh sống tại chỗ ở hợp pháp ngoài phạm vi đơn vị hành chính cấp xã nơi đã đăng ký thường trú để lao động, học tập hoặc vì mục đích khác từ 30 ngày trở lên thì phải đăng ký tạm trú. Nếu về quê chơi dưới 30 ngày thì không phải đăng ký tạm trú.","Quyen dan su","Nguyen Thi Hien","2026-03-25","Luat Cu tru 2020;Dieu 27","Tam tru;Dang ky",18,"https://thuvienphapluat.vn/hoi-dap-phap-luat/ve-que-ho-hang-choi-co-phai-dang-ky-tam-tru-khong-138083129.html"
138081917,"2013 bao nhiêu tuổi làm thẻ căn cước?","Người sinh năm 2013 tính đến năm 2026 là 13 tuổi. Theo Luật Căn cước 2023, công dân từ đủ 14 tuổi trở lên được cấp thẻ căn cước. Như vậy người sinh năm 2013 sẽ đủ 14 tuổi vào năm 2027, lúc đó mới đủ điều kiện làm thẻ căn cước. Trẻ em dưới 14 tuổi được cấp giấy chứng nhận căn cước.","Quyen dan su","Le Thi Mai","2026-03-24","Luat Can cuoc 2023;Dieu 18","The can cuoc;Do tuoi",45,"https://thuvienphapluat.vn/hoi-dap-phap-luat/2013-bao-nhieu-tuoi-lam-the-can-cuoc-138081917.html"
138081701,"Gia hạn tạm trú bao nhiêu tiền 2026?","Theo Thông tư 75/2022/TT-BTC, lệ phí đăng ký tạm trú hoặc gia hạn tạm trú là 15.000 đồng/lần. Trường hợp đăng ký qua Cổng dịch vụ công quốc gia có thể được miễn lệ phí theo chính sách khuyến khích sử dụng dịch vụ công trực tuyến.","Quyen dan su","Pham Van Hung","2026-03-24","Thong tu 75/2022/TT-BTC;Luat Cu tru 2020","Tam tru;Le phi",32,"https://thuvienphapluat.vn/hoi-dap-phap-luat/gia-han-tam-tru-bao-nhieu-tien-2026-138081701.html"
138081795,"Ai được cấp hộ chiếu ngoại giao?","Theo Điều 9 Luật Xuất nhập cảnh 2019, hộ chiếu ngoại giao được cấp cho: Cán bộ, công chức thuộc Đảng, Nhà nước, Quốc hội, Chính phủ; người giữ chức vụ từ Thứ trưởng hoặc tương đương trở lên; Đại sứ, Tổng lãnh sự; vợ hoặc chồng của các đối tượng trên khi đi cùng trong nhiệm kỳ công tác.","Quyen dan su","Tran Thi Lan","2026-03-24","Luat Xuat nhap canh 2019;Dieu 9","Ho chieu;Ngoai giao",28,"https://thuvienphapluat.vn/hoi-dap-phap-luat/ai-duoc-cap-ho-chieu-ngoai-giao-138081795.html"
138082402,"Nghĩa vụ quân sự 2026 có được sử dụng điện thoại?","Theo quy định hiện hành, quân nhân tại ngũ không được sử dụng điện thoại di động cá nhân trong giờ huấn luyện, làm nhiệm vụ. Ngoài giờ huấn luyện, việc sử dụng điện thoại do chỉ huy đơn vị quy định. Thông thường, tân binh trong 3 tháng huấn luyện cơ bản bị hạn chế sử dụng điện thoại.","Quyen dan su","Nguyen Van Tuan","2026-03-25","Luat Nghia vu quan su 2015;Dieu luat Quan nhan","Nghia vu quan su;Dien thoai",156,"https://thuvienphapluat.vn/hoi-dap-phap-luat/nghia-vu-quan-su-2026-co-duoc-su-dung-dien-thoai-khong-138082402.html"
138083833,"Văn bản hợp nhất Luật Bình đẳng giới số 45/VBHN-VPQH chi tiết thế nào?","Văn bản hợp nhất 45/VBHN-VPQH hợp nhất Luật Bình đẳng giới 2006 và các sửa đổi bổ sung. Nội dung gồm 6 chương 44 điều, quy định nguyên tắc bình đẳng giới trong các lĩnh vực chính trị, kinh tế, lao động, giáo dục, y tế, gia đình. Văn bản có hiệu lực pháp lý như văn bản gốc.","Quyen dan su","Le Thi Thuy","2026-03-25","45/VBHN-VPQH;Luat Binh dang gioi 2006","Binh dang gioi",9,"https://thuvienphapluat.vn/hoi-dap-phap-luat/van-ban-hop-nhat-luat-binh-dang-gioi-so-45vbhnvpqh-chi-tiet-nhu-the-nao-138083833.html"
138082036,"Mẫu đơn xin trình bày nguyện vọng hiện nay như thế nào?","Mẫu đơn xin trình bày nguyện vọng gồm: Quốc hiệu tiêu ngữ; họ tên, ngày sinh, CCCD, địa chỉ người làm đơn; nội dung nguyện vọng cần trình bày; lý do; cam kết; ngày tháng và chữ ký. Đơn viết tay hoặc đánh máy đều được chấp nhận. Không có mẫu bắt buộc theo quy định pháp luật.","Quyen dan su","Pham Thi Hoa","2026-03-25","","Don;Mau don;Nguyen vong",22,"https://thuvienphapluat.vn/hoi-dap-phap-luat/mau-don-xin-trinh-bay-nguyen-vong-hien-nay-nhu-the-nao-138082036.html"
138081475,"Mẫu số 03 Nghị định 58 về Giấy chứng nhận an ninh trật tự là gì?","Mẫu số 03 ban hành kèm theo Nghị định 58/2025/NĐ-CP là Văn bản đề nghị cấp Giấy chứng nhận đủ điều kiện về an ninh, trật tự. Mẫu gồm thông tin về cá nhân/tổ chức đề nghị, địa chỉ kinh doanh, ngành nghề, danh sách nhân viên, phương tiện, thiết bị. Áp dụng từ ngày 15/03/2026.","Quyen dan su","Vo Minh Tuan","2026-03-23","Nghi dinh 58/2025/ND-CP;Mau so 03","An ninh trat tu;Giay chung nhan",15,"https://thuvienphapluat.vn/hoi-dap-phap-luat/mau-so-03-nghi-dinh-58-van-ban-de-nghi-cap-giay-chung-nhan-du-dieu-kien-ve-an-ninh-trat-tu-moi-nhat-138081475.html"
138083637,"Thay đổi lịch nghỉ lễ 30/4 và 1/5 năm 2026 được nghỉ 4 ngày hay 2 ngày liên tục?","Theo Điều 112 Bộ luật Lao động 2019, người lao động được nghỉ 2 ngày: ngày 30/4 và ngày 1/5. Năm 2026, ngày 30/4 rơi vào thứ Năm và 1/5 rơi vào thứ Sáu. Nếu nghỉ hàng tuần vào thứ Bảy và Chủ nhật thì người lao động được nghỉ 4 ngày liên tục từ 30/4 đến 3/5/2026.","Lao dong - Tien luong","Nguyen Van Tan","2026-04-01","Bo luat Lao dong 2019;Dieu 112;Dieu 98","Lich nghi le;30/4;1/5",4651,"https://thuvienphapluat.vn/hoi-dap-phap-luat/thay-doi-lich-nghi-le-304-va-15-2026-ca-nuoc-duoc-nghi-4-ngay-lien-tuc-hay-2-ngay-lien-tuc-138083637.html"
138083939,"Cập nhật lịch nghỉ Giỗ Tổ Hùng Vương 2026 và 30/4 1/5 nghỉ 9 ngày liên tục bằng cách nào?","Giỗ Tổ Hùng Vương năm 2026 rơi vào ngày 23/4 (thứ Năm). Ngày 30/4 rơi vào thứ Năm, 1/5 rơi vào thứ Sáu. Để nghỉ 9 ngày liên tục, người lao động có thể thỏa thuận với người sử dụng lao động hoán đổi ngày nghỉ: nghỉ bù ngày 24/4 (thứ Sáu) và sử dụng phép năm cho các ngày 27-29/4.","Lao dong - Tien luong","Tran Thi Nga","2026-03-28","Bo luat Lao dong 2019;Dieu 112;Dieu 113","Lich nghi le;Gio To Hung Vuong",3200,"https://thuvienphapluat.vn/hoi-dap-phap-luat/cap-nhat-lich-nghi-gio-to-hung-vuong-2026-va-304-15-nghi-9-ngay-lien-tuc-bang-cach-nao-138083939.html"
138083015,"Thay đổi lịch nghỉ Giỗ Tổ Hùng Vương 2026 và 30/4 1/5 để nghỉ 9 ngày liên tục như thế nào?","Theo Điều 113 Bộ luật Lao động 2019, người sử dụng lao động và người lao động có thể thỏa thuận hoán đổi ngày nghỉ lễ. Cụ thể, hoán đổi ngày thứ Sáu 24/4 sang ngày khác, kết hợp phép năm cho 3 ngày 27-29/4, được nghỉ liên tục từ 23/4 đến 3/5/2026.","Lao dong - Tien luong","Nguyen Van Tan","2026-03-20","Bo luat Lao dong 2019;Dieu 113","Hoan doi ngay nghi;Lich nghi le",2800,"https://thuvienphapluat.vn/hoi-dap-phap-luat/thay-doi-lich-nghi-gio-to-hung-vuong-2026-va-304-15-de-duoc-nghi-9-ngay-lien-tuc-nhu-the-nao-138083015.html"
